date,hour_kst,pageviews,visits,browser,device
2026-09-15,00,1,,,
2026-09-15,01,1,,,
2026-09-15,02,1,,,
2026-09-15,03,1,,,
2026-09-15,04,1,,,
2026-09-15,05,1,,,
2026-09-15,06,1,,,
2026-09-15,07,1,,,
2026-09-15,08,0,,,
2026-09-15,09,0,,,
2026-09-15,10,2,,,
2026-09-15,11,1,,,
2026-09-15,12,0,,,
2026-09-15,13,0,,,
2026-09-15,14,0,,,
2026-09-15,15,1,,,
2026-09-15,16,0,,,
2026-09-15,17,0,,,
2026-09-15,18,0,,,
2026-09-15,19,2,,,
2026-09-15,20,0,,,
2026-09-15,21,5,,,
2026-09-15,22,1,,,
2026-09-15,23,5,,,
